"startTime";"endTime";"Temperature in Oulu - real time data"
"2024-12-31T22:00:00.000Z";"2024-12-31T22:03:00.000Z";-7.1312
"2024-12-31T22:03:00.000Z";"2024-12-31T22:06:00.000Z";-7.1312
"2024-12-31T22:06:00.000Z";"2024-12-31T22:09:00.000Z";-7.1312
"2024-12-31T22:09:00.000Z";"2024-12-31T22:12:00.000Z";-7.1312
"2024-12-31T22:12:00.000Z";"2024-12-31T22:15:00.000Z";-7.1312
"2024-12-31T22:15:00.000Z";"2024-12-31T22:18:00.000Z";-7.1312
"2024-12-31T22:18:00.000Z";"2024-12-31T22:21:00.000Z";-7.1312
"2024-12-31T22:21:00.000Z";"2024-12-31T22:24:00.000Z";-8.15
"2024-12-31T22:24:00.000Z";"2024-12-31T22:27:00.000Z";-8.15
"2024-12-31T22:27:00.000Z";"2024-12-31T22:30:00.000Z";-8.15
"2024-12-31T22:30:00.000Z";"2024-12-31T22:33:00.000Z";-8.15
"2024-12-31T22:33:00.000Z";"2024-12-31T22:36:00.000Z";-8.15
"2024-12-31T22:36:00.000Z";"2024-12-31T22:39:00.000Z";-8.15
"2024-12-31T22:39:00.000Z";"2024-12-31T22:42:00.000Z";-8.15
"2024-12-31T22:42:00.000Z";"2024-12-31T22:45:00.000Z";-8.15
"2024-12-31T22:45:00.000Z";"2024-12-31T22:48:00.000Z";-8.15
"2024-12-31T22:48:00.000Z";"2024-12-31T22:51:00.000Z";-8.15
"2024-12-31T22:51:00.000Z";"2024-12-31T22:54:00.000Z";-8.15
"2024-12-31T22:54:00.000Z";"2024-12-31T22:57:00.000Z";-8.15
"2024-12-31T22:57:00.000Z";"2024-12-31T23:00:00.000Z";-8.15
"2024-12-31T23:00:00.000Z";"2024-12-31T23:03:00.000Z";-8.15
"2024-12-31T23:03:00.000Z";"2024-12-31T23:06:00.000Z";-8.15
"2024-12-31T23:06:00.000Z";"2024-12-31T23:09:00.000Z";-8.15
"2024-12-31T23:09:00.000Z";"2024-12-31T23:12:00.000Z";-8.15
"2024-12-31T23:12:00.000Z";"2024-12-31T23:15:00.000Z";-8.15
"2024-12-31T23:15:00.000Z";"2024-12-31T23:18:00.000Z";-8.15
"2024-12-31T23:18:00.000Z";"2024-12-31T23:21:00.000Z";-8.15
"2024-12-31T23:21:00.000Z";"2024-12-31T23:24:00.000Z";-8.15
"2024-12-31T23:24:00.000Z";"2024-12-31T23:27:00.000Z";-8.15
"2024-12-31T23:27:00.000Z";"2024-12-31T23:30:00.000Z";-8.15
"2024-12-31T23:30:00.000Z";"2024-12-31T23:33:00.000Z";-8.15
"2024-12-31T23:33:00.000Z";"2024-12-31T23:36:00.000Z";-8.15
"2024-12-31T23:36:00.000Z";"2024-12-31T23:39:00.000Z";-8.15
